GRCODE,GRNAME,AccidentYear,DevelopmentYear,DevelopmentLag,IncurredLosses,CumPaidLoss,BulkLoss,EarnedPremDIR,EarnedPremCeded,EarnedPremNet,Single,PostedReserves2007,IncrementalPaid
38733,Alaska Nat Ins Co,1998,2000,3,72,7,65,233,27,206,1,2130.728,7.0
38733,Alaska Nat Ins Co,1999,2000,2,136,2,80,226,27,199,1,2130.728,2.0
38733,Alaska Nat Ins Co,1999,2001,3,85,20,65,226,27,199,1,2130.728,18.0
38733,Alaska Nat Ins Co,1999,2002,4,69,21,48,226,27,199,1,2130.728,1.0
38733,Alaska Nat Ins Co,2000,2008,9,12,0,12,184,23,161,1,2130.728,1.0
38733,Alaska Nat Ins Co,2001,2001,1,445,9,95,213,37,176,1,2130.728,9.0
38733,Alaska Nat Ins Co,2001,2002,2,430,15,80,213,37,176,1,2130.728,6.0
38733,Alaska Nat Ins Co,2002,2005,4,442,44,67,209,39,170,1,2130.728,44.0
38733,Alaska Nat Ins Co,2002,2006,5,572,172,58,209,39,170,1,2130.728,128.0
38733,Alaska Nat Ins Co,2002,2007,6,660,618,42,209,39,170,1,2130.728,446.0
38733,Alaska Nat Ins Co,2003,2004,2,249,21,80,182,35,147,1,2130.728,21.0
38733,Alaska Nat Ins Co,2003,2008,6,42,6,36,182,35,147,1,2130.728,1.0
38733,Alaska Nat Ins Co,2004,2005,2,350,8,172,305,20,285,1,2130.728,8.0
38733,Alaska Nat Ins Co,2004,2008,5,100,7,93,305,20,285,1,2130.728,6.0
38733,Alaska Nat Ins Co,2005,2005,1,1126,14,860,1386,64,1322,1,2130.728,14.0
38733,Alaska Nat Ins Co,2005,2006,2,827,33,794,1386,64,1322,1,2130.728,19.0
38733,Alaska Nat Ins Co,2005,2008,4,560,31,529,1386,64,1322,1,2130.728,8.0
38733,Alaska Nat Ins Co,2006,2006,1,525,18,507,785,34,751,1,2130.728,18.0
38733,Alaska Nat Ins Co,2006,2008,3,436,47,389,785,34,751,1,2130.728,47.0
38733,Alaska Nat Ins Co,2006,2009,4,359,48,311,785,34,751,1,2130.728,1.0
38733,Alaska Nat Ins Co,2007,2007,1,592,11,311,503,14,489,1,2130.728,11.0
86,Allstate Ins Co Grp,1998,1998,1,1775,404,820,5141,0,5141,0,1411339.651,404.0
86,Allstate Ins Co Grp,1998,1999,2,1754,1050,357,5141,0,5141,0,1411339.651,646.0
86,Allstate Ins Co Grp,1998,2000,3,2234,1591,268,5141,0,5141,0,1411339.651,541.0
86,Allstate Ins Co Grp,1998,2001,4,2758,2041,196,5141,0,5141,0,1411339.651,450.0
86,Allstate Ins Co Grp,1998,2002,5,3116,2627,293,5141,0,5141,0,1411339.651,586.0
86,Allstate Ins Co Grp,1998,2003,6,3113,2692,255,5141,0,5141,0,1411339.651,65.0
86,Allstate Ins Co Grp,1998,2004,7,3467,2835,292,5141,0,5141,0,1411339.651,143.0
86,Allstate Ins Co Grp,1998,2005,8,3455,3086,276,5141,0,5141,0,1411339.651,251.0
86,Allstate Ins Co Grp,1998,2006,9,3662,3235,199,5141,0,5141,0,1411339.651,149.0
86,Allstate Ins Co Grp,1998,2007,10,3782,3385,284,5141,0,5141,0,1411339.651,150.0
86,Allstate Ins Co Grp,1999,1999,1,2103,473,994,5288,-1746,7034,0,1411339.651,473.0
86,Allstate Ins Co Grp,1999,2000,2,2371,889,315,5288,-1746,7034,0,1411339.651,416.0
86,Allstate Ins Co Grp,1999,2001,3,3544,1461,529,5288,-1746,7034,0,1411339.651,572.0
86,Allstate Ins Co Grp,1999,2002,4,3527,2388,170,5288,-1746,7034,0,1411339.651,927.0
86,Allstate Ins Co Grp,1999,2003,5,3863,2728,150,5288,-1746,7034,0,1411339.651,340.0
86,Allstate Ins Co Grp,1999,2004,6,4214,3173,229,5288,-1746,7034,0,1411339.651,445.0
86,Allstate Ins Co Grp,1999,2005,7,4721,3730,307,5288,-1746,7034,0,1411339.651,557.0
86,Allstate Ins Co Grp,1999,2006,8,4189,3755,249,5288,-1746,7034,0,1411339.651,25.0
86,Allstate Ins Co Grp,1999,2007,9,4583,3933,271,5288,-1746,7034,0,1411339.651,178.0
86,Allstate Ins Co Grp,1999,2008,10,4869,4075,351,5288,-1746,7034,0,1411339.651,142.0
86,Allstate Ins Co Grp,2000,2000,1,3316,335,1757,5049,-706,5755,0,1411339.651,335.0
86,Allstate Ins Co Grp,2000,2001,2,2375,1197,653,5049,-706,5755,0,1411339.651,862.0
86,Allstate Ins Co Grp,2000,2002,3,2323,1421,276,5049,-706,5755,0,1411339.651,224.0
86,Allstate Ins Co Grp,2000,2003,4,3237,1751,247,5049,-706,5755,0,1411339.651,330.0
86,Allstate Ins Co Grp,2000,2004,5,3400,1827,341,5049,-706,5755,0,1411339.651,76.0
86,Allstate Ins Co Grp,2000,2005,6,4030,2048,495,5049,-706,5755,0,1411339.651,221.0
86,Allstate Ins Co Grp,2000,2006,7,4481,2942,389,5049,-706,5755,0,1411339.651,894.0
86,Allstate Ins Co Grp,2000,2007,8,4822,4171,475,5049,-706,5755,0,1411339.651,1229.0
86,Allstate Ins Co Grp,2000,2008,9,4810,4255,396,5049,-706,5755,0,1411339.651,84.0
86,Allstate Ins Co Grp,2000,2009,10,5001,4452,354,5049,-706,5755,0,1411339.651,197.0
86,Allstate Ins Co Grp,2001,2001,1,1748,301,979,4043,0,4043,0,1411339.651,301.0
86,Allstate Ins Co Grp,2001,2002,2,1770,600,645,4043,0,4043,0,1411339.651,299.0
86,Allstate Ins Co Grp,2001,2003,3,2120,1074,430,4043,0,4043,0,1411339.651,474.0
86,Allstate Ins Co Grp,2001,2004,4,2631,1660,454,4043,0,4043,0,1411339.651,586.0
86,Allstate Ins Co Grp,2001,2005,5,2756,2073,431,4043,0,4043,0,1411339.651,413.0
86,Allstate Ins Co Grp,2001,2006,6,3442,2362,293,4043,0,4043,0,1411339.651,289.0
86,Allstate Ins Co Grp,2001,2007,7,4363,3917,413,4043,0,4043,0,1411339.651,1555.0
86,Allstate Ins Co Grp,2001,2008,8,4542,3941,325,4043,0,4043,0,1411339.651,24.0
86,Allstate Ins Co Grp,2001,2009,9,4882,4458,344,4043,0,4043,0,1411339.651,517.0
86,Allstate Ins Co Grp,2001,2010,10,5242,4481,369,4043,0,4043,0,1411339.651,23.0
86,Allstate Ins Co Grp,2002,2002,1,2382,262,956,3284,-19,3303,0,1411339.651,262.0
